"Order id","Invoice No","Txn ID","Txn Date",Amount,"Request ID","Request Date",UTR,"Service Fee","Total tax","Net Amount","Bank Name","Issuing Bank",CGST,IGST,SGST
39018,,c0fe4c2ed6247c4572bd,"2018-01-18 14:59:44",23600.00,4424341435,"2018-01-20 21:21:12",801200220379,299.72000,53.95000,23246.33000,HDFB,,0.00000,53.95000,0.00000
39037,,3891cdf63b257133adfa,"2018-01-18 22:03:00",29500.00,4425122875,"2018-01-20 21:21:12",801200220379,374.65000,67.44000,29057.91000,SBIB,,0.00000,67.44000,0.00000
39041,,de82f9e04580a54fafe4,"2018-01-19 10:04:51",29500.00,4425553273,"2018-01-20 21:21:12",801200220379,374.65000,67.44000,29057.91000,CC,HDFC,0.00000,67.44000,0.00000
39045,,5b113ea43f99a8e74572,"2018-01-19 11:47:15",17700.00,4425752281,"2018-01-20 21:21:12",801200220379,185.85000,33.45000,17480.70000,VISA,ICICI,0.00000,33.45000,0.00000
39047,,1995d862ca8a12cac0f4,"2018-01-19 12:13:13",17700.00,4425820665,"2018-01-20 21:21:12",801200220379,354.00000,63.72000,17282.28000,AMEX,AMEX,0.00000,63.72000,0.00000
39050,,2b401e2ff628b26498bb,"2018-01-19 13:18:27",23600.00,4425958585,"2018-01-20 21:21:12",801200220379,299.72000,53.95000,23246.33000,CC,HDFC,0.00000,53.95000,0.00000
39056,17-18-01-224,b48f560f267e3c459410,"2018-01-19 15:07:32",5900.00,4426170681,"2018-01-20 21:21:12",801200220379,61.95000,11.15000,5826.90000,VISA,HDFC,0.00000,11.15000,0.00000
39057,17-18-01-225,f7b35c1af6a3052d4c8d,"2018-01-19 15:17:56",35400.00,4426183903,"2018-01-20 21:21:12",801200220379,449.58000,80.92000,34869.50000,CC,HDFC,0.00000,80.92000,0.00000
39060,17-18-01-226,8383783877afd640936b,"2018-01-19 16:01:10",35000.00,4426261481,"2018-01-20 21:21:12",801200220379,444.50000,80.01000,34475.49000,CC,AXIS,0.00000,80.01000,0.00000
39065,,10a1c8a76cb6321e01d9,"2018-01-19 17:21:32",17700.00,4426420439,"2018-01-20 21:21:12",801200220379,224.79000,40.46000,17434.75000,CC,HDFC,0.00000,40.46000,0.00000
39068,,248266dd686c207ca856,"2018-01-19 17:53:41",35400.00,4426472677,"2018-01-20 21:21:12",801200220379,449.58000,80.92000,34869.50000,CC,HDFC,0.00000,80.92000,0.00000
39074,17-18-01-227,a27de938af6984a18717,"2018-01-19 19:29:01",23600.00,4426664995,"2018-01-20 21:21:12",801200220379,247.80000,44.60000,23307.60000,VISA,KOTAK,0.00000,44.60000,0.00000
39076,,e028753839e03ccdb0d0,"2018-01-19 20:08:18",23600.00,4426746039,"2018-01-20 21:21:12",801200220379,299.72000,53.95000,23246.33000,CC,HDFC,0.00000,53.95000,0.00000
39078,,e1a6a88dad168d16d513,"2018-01-19 21:12:18",17700.00,4426873489,"2018-01-20 21:21:12",801200220379,224.79000,40.46000,17434.75000,CC,ICICI,0.00000,40.46000,0.00000
39079,,906bb0284ca64a5ca293,"2018-01-19 21:23:51",17700.00,4426894395,"2018-01-20 21:21:12",801200220379,185.85000,33.45000,17480.70000,MAST,YES,0.00000,33.45000,0.00000
